"Reference","Value","LCSC","Datasheet","Footprint","Qty","DNP"
"U4","ESP32-S2-MINI-2","C3013908","","ESP32-S2-MINI-2:XCVR_ESP32-S2-MINI-2","1",""
"U1,U5","SN74AHCT245PWR","C6779","","SOP65P640X120-20N:SOP65P640X120-20N","2",""
"U3","XC6206P332MR","C347376","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"U2","~","C30734","","Connector_PinSocket_2.54mm:PinSocket_2x08_P2.54mm_Vertical","1",""
"SW2","SW_Push","C720477 ","~","TS-1088-AR02016:SW_TS-1088-AR02016","1",""
"R1,R2","5.1K","C25905","~","Resistor_SMD:R_0402_1005Metric","2",""
"J2","Screw_Terminal_01x02","C695629","~","DORABO:DB300V-5.0-2P-BU-S","1",""
"J1","USB_C_Receptacle_USB2.0_16P","C165948","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","HRO_TYPE-C-31-M-12:HRO_TYPE-C-31-M-12","1",""
"D1","S-LMBR340FT1G","C2972823","~","Diode_SMD:D_SOD-123F","1",""
"C10","1uF","C14445","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C4,C5","10uF","C15525","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C3,C6","0.1uF","C106209","~","Capacitor_SMD:C_0402_1005Metric","2",""
